source,target,weight,year
AUS,BRN,12920202.0,1988
AUS,CHN,4353578.0,1988
AUS,IDN,161789074.0,1988
AUS,IRN,6861742.0,1988
AUS,KWT,4273570.0,1988
AUS,MYS,125265281.0,1988
AUS,NZL,35665393.0,1988
AUS,QAT,11088589.0,1988
AUS,SAU,120345304.0,1988
AUS,SGP,3286791.0,1988
AUS,SYR,2228919.0,1988
AUS,ARE,161096799.0,1988
AUS,GBR,577.0,1988
AUS,USA,12082.0,1988
KOR,EGY,135243824.0,1988
KOR,YEM,133339064.0,1988
KOR,ARE,597504192.0,1988
KOR,SGP,1761.0,1988
KOR,SAU,149163648.0,1988
KOR,QAT,20584244.0,1988
KOR,DZA,64186876.0,1988
KOR,AGO,10600063.0,1988
KOR,AUS,26697252.0,1988
KOR,BRN,178115568.0,1988
KOR,CMR,9433966.0,1988
KOR,CAN,1381804.0,1988
KOR,COG,21746136.0,1988
KOR,ECU,254963200.0,1988
KOR,FRA,4391337.0,1988
KOR,GAB,22237248.0,1988
KOR,IDN,184015552.0,1988
KOR,KWT,140653920.0,1988
KOR,MYS,359759808.0,1988
KOR,MEX,74356336.0,1988
KOR,OMN,639650368.0,1988
PRT,DZA,69927816.0,1988
PRT,AGO,21937132.0,1988
PRT,IDN,10105378.0,1988
PRT,IRQ,146429840.0,1988
PRT,ITA,2899.0,1988
PRT,LBY,9427091.0,1988
PRT,MEX,58761408.0,1988
PRT,NGA,216192576.0,1988
PRT,NOR,27439120.0,1988
PRT,IRN,12336284.0,1988
PRT,SAU,156774384.0,1988
PRT,ARE,24955212.0,1988
PRT,TUR,15321376.0,1988
PRT,SUN,4121744.0,1988
PRT,EGY,69756400.0,1988
PRT,GBR,87584032.0,1988
IDN,AUS,7362931.0,1988
ITA,CHE,2106.0,1988
SGP,AUS,89356106.0,1988
CAN,CHE,961.0,1988
FRA,CHE,8121.0,1988
FRA,GRC,38840488.0,1988
FRA,DEU,3000.0,1988
CHE,NOR,40709316.0,1988
CHE,SAU,36926252.0,1988
CHE,TUN,22191200.0,1988
CHE,GBR,92477160.0,1988
CHE,YEM,12637891.0,1988
CHE,NGA,24533280.0,1988
CHE,LBY,191733600.0,1988
