country,node_id
ABW,0
AFG,1
AGO,2
AIA,3
ALB,4
AND,5
ANT,6
ARE,7
ARG,8
ARM,9
ASM,10
ATA,11
ATF,12
ATG,13
AUS,14
AUT,15
AZE,16
BDI,17
BEL,18
BEN,19
BES,20
BFA,21
BGD,22
BGR,23
BHR,24
BHS,25
BIH,26
BLM,27
BLR,28
BLZ,29
BMU,30
BOL,31
BRA,32
BRB,33
BRN,34
BTN,35
BVT,36
BWA,37
CAF,38
CAN,39
CCK,40
CHE,41
CHL,42
CHN,43
CIV,44
CMR,45
COD,46
COG,47
COK,48
COL,49
COM,50
CPV,51
CRI,52
CSK,53
CUB,54
CUW,55
CXR,56
CYM,57
CYP,58
CZE,59
DDR,60
DEU,61
DJI,62
DMA,63
DNK,64
DOM,65
DZA,66
E29,67
ECU,68
EGY,69
ERI,70
ESP,71
EST,72
ETH,73
F97,74
FIN,75
FJI,76
FLK,77
FRA,78
FRO,79
FSM,80
GAB,81
GBR,82
GEO,83
GHA,84
GIB,85
GIN,86
GMB,87
GNB,88
GNQ,89
GRC,90
GRD,91
GRL,92
GTM,93
GUF,94
GUM,95
GUY,96
HKG,97
HND,98
HRV,99
HTI,100
HUN,101
IDN,102
IND,103
IOT,104
IRL,105
IRN,106
IRQ,107
ISL,108
ISR,109
ITA,110
JAM,111
JOR,112
JPN,113
KAZ,114
KEN,115
KGZ,116
KHM,117
KIR,118
KNA,119
KOR,120
KWT,121
LAO,122
LBN,123
LBR,124
LBY,125
LCA,126
LKA,127
LSO,128
LTU,129
LUX,130
LVA,131
MAC,132
MAR,133
MCO,134
MDA,135
MDG,136
MDV,137
MEX,138
MHL,139
MKD,140
MLI,141
MLT,142
MMR,143
MNE,144
MNG,145
MNP,146
MOZ,147
MRT,148
MSR,149
MTQ,150
MUS,151
MWI,152
MYS,153
MYT,154
NAM,155
NCL,156
NER,157
NFK,158
NGA,159
NIC,160
NIU,161
NLD,162
NOR,163
NPL,164
NRU,165
NTZ,166
NZL,167
OMN,168
PAK,169
PAN,170
PCN,171
PER,172
PHL,173
PLW,174
PNG,175
POL,176
PRK,177
PRT,178
PRY,179
PSE,180
PUS,181
PYF,182
QAT,183
ROU,184
RUS,185
RWA,186
SAU,187
SCG,188
SDN,189
SEN,190
SGP,191
SGS,192
SHN,193
SLB,194
SLE,195
SLV,196
SMR,197
SOM,198
SPM,199
SRB,200
SSD,201
STP,202
SUN,203
SUR,204
SVK,205
SVN,206
SWE,207
SWZ,208
SXM,209
SYC,210
SYR,211
TCA,212
TCD,213
TGO,214
THA,215
TJK,216
TKL,217
TKM,218
TLS,219
TON,220
TTO,221
TUN,222
TUR,223
TUV,224
TZA,225
UGA,226
UKR,227
UMI,228
URY,229
USA,230
UZB,231
VCT,232
VEN,233
VGB,234
VNM,235
VUT,236
WLF,237
WSM,238
YEM,239
YMD,240
YUG,241
ZAF,242
ZMB,243
ZWE,244
