DZA SWE
SWE NOR
SWE SAU
SWE DNK
PRT NGA
PRT IRN
PRT SAU
NOR DNK
NOR GBR
NOR DZA
DNK NOR
DNK RUS
DNK LVA
GBR NOR
GBR SAU
GBR KWT
RUS DEU
DEU RUS
DEU NOR
DEU GBR
EGY FRA
EGY BEL
EGY ITA
FRA SAU
FRA NOR
FRA GBR
BEL NOR
BEL DZA
BEL VEN
ITA LBY
ITA RUS
ITA SAU
KWT EGY
ROU IRN
ROU RUS
ROU EGY
AUT DZA
AUT SAU
AUT LBY
HUN RUS
HUN KAZ
HUN AUT
KAZ TUR
TUR SAU
TUR IRN
TUR ARE
MEX VEN
VEN USA
VEN MEX
VEN DEU
GAB FRA
PER ECU
PER ARG
PER USA
ECU NLD
ARG NGA
ARG DZA
ARG CHL
USA SAU
USA CAN
USA VEN
CHL ARG
CHL NGA
CHL ECU
NLD SAU
NLD NOR
NLD IRN
CAN NOR
CAN GBR
CAN NGA
POL RUS
POL GBR
POL NOR
CZE RUS
CZE GBR
CZE DEU
SGP SAU
SGP ARE
SGP IDN
IDN SAU
IDN IRN
IDN AUS
VNM IDN
YEM OMN
YEM EGY
SVK RUS
SVK CZE
SVN HRV
SVN RUS
SVN KWT
HRV IRN
HRV GBR
HRV LBY
ESP NGA
ESP SAU
ESP LBY
QAT AUS
AUS PNG
AUS ARE
AUS IDN
IND ARE
IND SAU
IND KWT
PNG AUS
MYS SAU
MYS BRN
MYS KWT
BRN JPN
BRN MYS
BRN USA
JPN ARE
JPN SAU
JPN IRN
CHN IDN
CHN OMN
CHN YEM
PRY DZA
PRY ARG
MLT ITA
MTQ GBR
MTQ CMR
MTQ SAU
MUS ZA1
ZA1 OMN
ZA1 MWI
MWI ZA1
MDA RUS
MDA ROU
MDA DEU
MAR SAU
MAR IRN
MAR ARE
LTU RUS
LTU UZB
LTU LVA
LVA LTU
FIN NOR
FIN GBR
FIN RUS
MDG IRN
MDG ZA1
NZL SAU
NZL ARE
NZL PNG
NIC VEN
MOZ USA
NPL IND
BRA SAU
BRA ARG
BRA KWT
COL USA
GRC IRN
GRC EGY
GRC LBY
THA MYS
THA ARE
THA OMN
TTO VEN
TTO SUR
TTO COL
GTM VEN
GTM ECU
GTM DEU
KOR SAU
KOR IRN
KOR ARE
MKD RUS
MKD ALB
MKD AUT
ANT VEN
PAN ECU
PAN VEN
PAN MEX
CHE LBY
CHE NGA
CHE GBR
TUN LBY
TUN SYR
TUN FRA
UGA ARE
CRI COL
CRI VEN
CRI MEX
HND GTM
HKG MYS
HKG IDN
HKG AUS
SLV VEN
SLV USA
SLV GTM
CYP RUS
CYP DZA
CYP IRN
LKA IRN
LKA MYS
LKA ARE
BHS GBR
BHS COL
BHS COG
IRL NOR
IRL GBR
PHL MYS
PHL IDN
PHL BRN
JOR IRQ
ISL DNK
ISR EGY
ISR NOR
ISR CHN
CUB MEX
CUB VEN
CUB COL
JAM MEX
JAM VEN
DOM MEX
DOM VEN
BRB VEN
LCA GBR
AIA VEN
CIV VEN
BGR DZA
BGR EGY
BGR TUN
RWA UGA
ZMB EGY
PRK CHN
HTI COG
ABW COL
MRT DZA
LBR DZA
BMU ARG
MMR MYS
GIB GAB
